Date,Value,year,month
191305,60.4,1913,5
191306,65.4,1913,6
191307,73.5,1913,7
191308,75.0,1913,8
191309,70.0,1913,9
191310,59.7,1913,10
191311,50.1,1913,11
191312,42.3,1913,12
191401,44.4,1914,1
191402,45.5,1914,2
191403,52.6,1914,3
191404,54.6,1914,4
191405,61.4,1914,5
191406,66.8,1914,6
191407,73.6,1914,7
191408,73.6,1914,8
191409,66.2,1914,9
191410,59.1,1914,10
191411,51.8,1914,11
191412,38.9,1914,12
191501,41.4,1915,1
191502,44.2,1915,2
191503,50.6,1915,3
191504,54.4,1915,4
191505,57.0,1915,5
191506,67.4,1915,6
191507,73.2,1915,7
191508,74.8,1915,8
191509,66.4,1915,9
191510,60.2,1915,10
191511,48.2,1915,11
191512,43.1,1915,12
191601,38.1,1916,1
191602,47.6,1916,2
191603,51.4,1916,3
191604,55.6,1916,4
191605,57.8,1916,5
191606,66.4,1916,6
191607,72.6,1916,7
191608,71.7,1916,8
191609,66.8,1916,9
191610,53.8,1916,10
191611,45.9,1916,11
191612,39.3,1916,12
191701,36.6,1917,1
191702,42.9,1917,2
191703,43.6,1917,3
191704,51.4,1917,4
191705,55.5,1917,5
191706,69.2,1917,6
191707,77.3,1917,7
191708,74.1,1917,8
191709,68.7,1917,9
191710,62.6,1917,10
191711,51.1,1917,11
191712,46.5,1917,12
191801,42.9,1918,1
191802,43.5,1918,2
191803,48.6,1918,3
191804,53.9,1918,4
191805,57.2,1918,5
191806,73.9,1918,6
191807,73.1,1918,7
191808,72.3,1918,8
191809,68.0,1918,9
191810,60.8,1918,10
191811,47.4,1918,11
191812,40.5,1918,12
191901,42.5,1919,1
191902,41.8,1919,2
191903,45.6,1919,3
191904,54.8,1919,4
191905,62.6,1919,5
191906,68.2,1919,6
191907,75.2,1919,7
191908,74.0,1919,8
191909,66.9,1919,9
191910,54.6,1919,10
191911,47.2,1919,11
191912,41.9,1919,12
192001,44.4,1920,1
192002,45.4,1920,2
192003,45.8,1920,3
192004,51.9,1920,4
192005,60.4,1920,5
192006,67.3,1920,6
192007,73.0,1920,7
192008,74.3,1920,8
192009,66.1,1920,9
192010,54.5,1920,10
192011,48.0,1920,11
192012,42.0,1920,12
192101,41.2,1921,1
192102,45.6,1921,2
192103,50.7,1921,3
192104,52.3,1921,4
192105,57.1,1921,5
192106,69.1,1921,6
192107,75.6,1921,7
192108,72.7,1921,8
192109,66.8,1921,9
192110,60.8,1921,10
192111,50.8,1921,11
192112,45.0,1921,12
192201,37.5,1922,1
192202,41.2,1922,2
192203,44.8,1922,3
192204,50.3,1922,4
192205,61.1,1922,5
192206,69.7,1922,6
192207,76.0,1922,7
192208,72.9,1922,8
192209,71.3,1922,9
192210,58.0,1922,10
192211,45.8,1922,11
192212,44.1,1922,12
192301,42.2,1923,1
192302,43.2,1923,2
192303,49.1,1923,3
192304,52.1,1923,4
192305,61.1,1923,5
192306,63.2,1923,6
192307,73.4,1923,7
192308,72.5,1923,8
192309,68.7,1923,9
192310,57.3,1923,10
192311,51.8,1923,11
192312,41.8,1923,12
192401,41.0,1924,1
192402,49.6,1924,2
192403,46.4,1924,3
192404,54.4,1924,4
192405,64.9,1924,5
192406,69.9,1924,6
192407,73.6,1924,7
192408,72.6,1924,8
192409,68.3,1924,9
192410,55.6,1924,10
192411,49.4,1924,11
192412,40.1,1924,12
192501,42.9,1925,1
192502,47.3,1925,2
192503,49.8,1925,3
192504,54.0,1925,4
192505,61.5,1925,5
