Date,Value,year,month
192502,57.3,1925,2
192503,62.6,1925,3
192504,65.5,1925,4
192505,74.1,1925,5
192506,83.2,1925,6
192507,91.4,1925,7
192508,86.7,1925,8
192509,77.8,1925,9
192510,70.0,1925,10
192511,59.3,1925,11
192512,55.3,1925,12
192601,52.8,1926,1
192602,57.4,1926,2
192603,66.3,1926,3
192604,68.6,1926,4
192605,76.2,1926,5
192606,88.2,1926,6
192607,91.7,1926,7
192608,89.3,1926,8
192609,81.2,1926,9
192610,74.6,1926,10
192611,65.0,1926,11
192612,50.9,1926,12
192701,53.1,1927,1
192702,54.2,1927,2
192703,58.6,1927,3
192704,65.6,1927,4
192705,74.1,1927,5
192706,82.6,1927,6
192707,91.4,1927,7
192708,87.7,1927,8
192709,79.3,1927,9
192710,74.2,1927,10
192711,61.2,1927,11
192712,51.0,1927,12
192801,54.1,1928,1
192802,57.7,1928,2
192803,62.6,1928,3
192804,66.7,1928,4
192805,78.4,1928,5
192806,83.3,1928,6
192807,90.4,1928,7
192808,89.7,1928,8
192809,85.2,1928,9
192810,71.7,1928,10
192811,60.1,1928,11
192812,50.9,1928,12
192901,49.6,1929,1
192902,53.5,1929,2
192903,60.4,1929,3
192904,61.9,1929,4
192905,76.9,1929,5
192906,82.3,1929,6
192907,90.2,1929,7
192908,91.4,1929,8
192909,82.3,1929,9
192910,76.2,1929,10
192911,67.0,1929,11
192912,59.0,1929,12
193001,48.3,1930,1
193002,60.3,1930,2
193003,62.0,1930,3
193004,68.7,1930,4
193005,69.2,1930,5
193006,84.9,1930,6
193007,90.5,1930,7
193008,88.6,1930,8
193009,78.6,1930,9
193010,72.4,1930,10
193011,63.0,1930,11
193012,54.1,1930,12
193101,53.6,1931,1
193102,56.4,1931,2
193103,64.3,1931,3
193104,71.2,1931,4
193105,79.8,1931,5
193106,81.3,1931,6
193107,95.6,1931,7
193108,91.1,1931,8
193109,81.1,1931,9
193110,72.2,1931,10
193111,56.9,1931,11
193112,48.6,1931,12
193201,47.9,1932,1
193202,52.7,1932,2
193203,62.5,1932,3
193204,65.7,1932,4
193205,73.3,1932,5
193206,84.2,1932,6
193207,89.2,1932,7
193208,89.2,1932,8
193209,87.3,1932,9
193210,73.1,1932,10
193211,66.5,1932,11
193212,48.2,1932,12
193301,47.5,1933,1
193302,51.4,1933,2
193303,60.3,1933,3
193304,65.9,1933,4
193305,67.7,1933,5
193306,82.0,1933,6
193307,93.4,1933,7
193308,90.7,1933,8
193309,81.8,1933,9
193310,78.7,1933,10
193311,66.1,1933,11
193312,53.3,1933,12
193401,55.7,1934,1
193402,58.4,1934,2
193403,70.6,1934,3
193404,74.2,1934,4
193405,78.6,1934,5
193406,79.8,1934,6
193407,90.6,1934,7
193408,90.5,1934,8
193409,84.9,1934,9
193410,73.1,1934,10
193411,60.6,1934,11
193412,53.6,1934,12
193501,50.4,1935,1
193502,55.5,1935,2
193503,55.4,1935,3
193504,64.4,1935,4
193505,73.4,1935,5
193506,86.6,1935,6
193507,88.6,1935,7
193508,90.1,1935,8
193509,85.6,1935,9
193510,70.8,1935,10
193511,58.5,1935,11
193512,54.4,1935,12
193601,54.4,1936,1
193602,53.4,1936,2
193603,63.8,1936,3
193604,69.6,1936,4
193605,77.4,1936,5
193606,83.8,1936,6
193607,91.4,1936,7
193608,90.9,1936,8
193609,85.1,1936,9
193610,74.4,1936,10
193611,65.2,1936,11
193612,52.3,1936,12
193701,40.9,1937,1
193702,51.8,1937,2
193703,58.7,1937,3
193704,65.0,1937,4
193705,77.4,1937,5
193706,82.7,1937,6
193707,91.5,1937,7
193708,91.2,1937,8
193709,85.2,1937,9
193710,74.8,1937,10
193711,62.2,1937,11
193712,56.5,1937,12
193801,54.3,1938,1
193802,52.0,1938,2
193803,54.4,1938,3
193804,65.3,1938,4
193805,75.0,1938,5
193806,84.0,1938,6
193807,90.3,1938,7
193808,89.1,1938,8
193809,85.2,1938,9
193810,70.2,1938,10
193811,59.4,1938,11
193812,55.4,1938,12
193901,52.7,1939,1
193902,50.9,1939,2
193903,60.7,1939,3
193904,72.4,1939,4
193905,76.3,1939,5
193906,83.9,1939,6
193907,91.1,1939,7
193908,91.3,1939,8
193909,82.7,1939,9
193910,73.1,1939,10
193911,65.8,1939,11
193912,58.1,1939,12
194001,53.3,1940,1
194002,54.8,1940,2
194003,63.1,1940,3
194004,67.7,1940,4
194005,78.8,1940,5
194006,87.9,1940,6
194007,89.3,1940,7
194008,90.7,1940,8
194009,79.8,1940,9
194010,73.4,1940,10
194011,59.4,1940,11
194012,55.6,1940,12
194101,52.6,1941,1
194102,55.7,1941,2
194103,61.3,1941,3
194104,62.3,1941,4
194105,74.8,1941,5
194106,79.8,1941,6
194107,90.4,1941,7
194108,85.0,1941,8
194109,79.8,1941,9
194110,68.7,1941,10
194111,62.8,1941,11
194112,52.0,1941,12
194201,52.4,1942,1
194202,53.1,1942,2
194203,60.5,1942,3
194204,63.6,1942,4
194205,71.0,1942,5
194206,82.5,1942,6
194207,91.9,1942,7
194208,89.6,1942,8
194209,83.1,1942,9
194210,74.4,1942,10
194211,61.8,1942,11
194212,54.4,1942,12
194301,53.6,1943,1
194302,58.0,1943,2
194303,60.5,1943,3
194304,67.5,1943,4
194305,76.5,1943,5
194306,78.7,1943,6
194307,89.8,1943,7
194308,87.4,1943,8
194309,87.3,1943,9
194310,72.4,1943,10
194311,63.6,1943,11
194312,53.2,1943,12
194401,51.8,1944,1
194402,51.7,1944,2
194403,60.5,1944,3
194404,62.6,1944,4
194405,74.0,1944,5
194406,77.0,1944,6
194407,88.0,1944,7
194408,89.7,1944,8
194409,85.6,1944,9
194410,75.0,1944,10
194411,55.8,1944,11
194412,54.6,1944,12
194501,52.5,1945,1
194502,55.4,1945,2
194503,54.9,1945,3
194504,67.8,1945,4
194505,71.9,1945,5
194506,82.0,1945,6
194507,92.1,1945,7
194508,88.5,1945,8
194509,85.0,1945,9
194510,73.1,1945,10
194511,58.6,1945,11
194512,51.4,1945,12
194601,53.1,1946,1
194602,53.8,1946,2
194603,59.4,1946,3
194604,69.9,1946,4
194605,74.5,1946,5
194606,82.5,1946,6
194607,89.3,1946,7
194608,90.1,1946,8
194609,84.1,1946,9
194610,68.1,1946,10
194611,56.4,1946,11
194612,52.9,1946,12
194701,51.8,1947,1
194702,59.5,1947,2
194703,62.9,1947,3
194704,69.3,1947,4
194705,79.5,1947,5
194706,81.2,1947,6
194707,88.5,1947,7
194708,86.5,1947,8
194709,86.8,1947,9
194710,71.1,1947,10
194711,57.3,1947,11
194712,52.0,1947,12
194801,58.2,1948,1
194802,53.6,1948,2
194803,55.5,1948,3
194804,62.3,1948,4
194805,71.1,1948,5
194806,81.0,1948,6
194807,88.2,1948,7
194808,87.7,1948,8
194809,83.6,1948,9
194810,72.4,1948,10
194811,60.4,1948,11
194812,47.9,1948,12
194901,42.1,1949,1
194902,49.9,1949,2
194903,55.8,1949,3
194904,71.3,1949,4
194905,73.2,1949,5
194906,84.7,1949,6
194907,89.6,1949,7
194908,86.8,1949,8
194909,85.6,1949,9
194910,71.6,1949,10
194911,68.2,1949,11
194912,51.8,1949,12
195001,47.0,1950,1
195002,57.8,1950,2
195003,60.0,1950,3
195004,69.9,1950,4
195005,75.2,1950,5
195006,81.8,1950,6
195007,90.8,1950,7
195008,90.7,1950,8
195009,81.4,1950,9
195010,74.5,1950,10
195011,64.4,1950,11
195012,57.4,1950,12
195101,51.3,1951,1
195102,54.8,1951,2
195103,60.7,1951,3
195104,67.4,1951,4
195105,74.8,1951,5
195106,83.5,1951,6
195107,90.3,1951,7
195108,88.5,1951,8
195109,86.4,1951,9
195110,71.7,1951,10
195111,59.8,1951,11
195112,49.4,1951,12
195201,46.8,1952,1
195202,54.2,1952,2
195203,53.2,1952,3
195204,66.7,1952,4
195205,77.5,1952,5
195206,77.9,1952,6
195207,90.5,1952,7
195208,89.7,1952,8
195209,85.6,1952,9
195210,78.6,1952,10
195211,58.4,1952,11
195212,50.0,1952,12
195301,56.4,1953,1
195302,58.0,1953,2
195303,60.7,1953,3
195304,65.0,1953,4
195305,67.5,1953,5
195306,78.3,1953,6
195307,91.8,1953,7
195308,86.4,1953,8
195309,86.3,1953,9
195310,72.8,1953,10
195311,61.4,1953,11
195312,55.1,1953,12
195401,52.0,1954,1
195402,60.8,1954,2
195403,56.5,1954,3
195404,70.4,1954,4
195405,78.3,1954,5
195406,80.5,1954,6
195407,91.1,1954,7
195408,85.0,1954,8
195409,83.0,1954,9
195410,74.1,1954,10
195411,62.7,1954,11
195412,51.0,1954,12
195501,47.0,1955,1
195502,53.2,1955,2
195503,60.8,1955,3
195504,61.7,1955,4
195505,73.0,1955,5
195506,81.9,1955,6
195507,86.5,1955,7
195508,90.8,1955,8
195509,85.0,1955,9
195510,75.3,1955,10
195511,59.7,1955,11
195512,53.0,1955,12
195601,52.4,1956,1
195602,51.7,1956,2
195603,62.4,1956,3
195604,65.1,1956,4
195605,73.6,1956,5
195606,83.8,1956,6
195607,88.9,1956,7
195608,86.8,1956,8
195609,85.8,1956,9
195610,69.6,1956,10
195611,64.1,1956,11
195612,56.5,1956,12
195701,47.9,1957,1
195702,57.3,1957,2
195703,59.8,1957,3
195704,66.1,1957,4
195705,70.5,1957,5
195706,86.4,1957,6
195707,90.0,1957,7
195708,87.5,1957,8
195709,84.0,1957,9
195710,66.9,1957,10
195711,57.8,1957,11
195712,54.2,1957,12
195801,53.8,1958,1
195802,56.7,1958,2
195803,53.8,1958,3
195804,65.1,1958,4
195805,78.0,1958,5
195806,81.3,1958,6
195807,88.9,1958,7
195808,91.6,1958,8
195809,85.2,1958,9
195810,78.0,1958,10
195811,62.5,1958,11
195812,60.9,1958,12
195901,55.5,1959,1
195902,53.3,1959,2
195903,65.4,1959,3
195904,73.0,1959,4
195905,72.5,1959,5
195906,86.3,1959,6
195907,93.9,1959,7
195908,88.8,1959,8
195909,80.6,1959,9
195910,76.1,1959,10
195911,66.5,1959,11
195912,55.9,1959,12
196001,49.1,1960,1
196002,53.8,1960,2
196003,63.5,1960,3
196004,67.4,1960,4
196005,73.7,1960,5
196006,88.8,1960,6
196007,92.9,1960,7
196008,89.8,1960,8
196009,86.4,1960,9
196010,72.6,1960,10
196011,58.1,1960,11
196012,53.4,1960,12
196101,55.6,1961,1
196102,58.0,1961,2
196103,59.1,1961,3
196104,69.1,1961,4
196105,71.2,1961,5
196106,87.5,1961,6
196107,92.4,1961,7
196108,89.3,1961,8
196109,81.3,1961,9
196110,73.0,1961,10
196111,59.0,1961,11
196112,51.0,1961,12
196201,52.5,1962,1
196202,52.0,1962,2
196203,55.5,1962,3
196204,72.6,1962,4
196205,70.6,1962,5
196206,83.4,1962,6
196207,89.4,1962,7
196208,89.3,1962,8
196209,84.6,1962,9
196210,72.2,1962,10
196211,63.3,1962,11
196212,56.2,1962,12
196301,52.3,1963,1
196302,62.2,1963,2
196303,58.3,1963,3
196304,59.2,1963,4
196305,73.4,1963,5
196306,79.0,1963,6
196307,87.6,1963,7
196308,87.5,1963,8
196309,84.4,1963,9
196310,72.4,1963,10
196311,58.5,1963,11
196312,53.4,1963,12
196401,51.0,1964,1
196402,57.2,1964,2
196403,58.0,1964,3
196404,65.5,1964,4
196405,71.2,1964,5
196406,79.8,1964,6
196407,89.8,1964,7
196408,88.8,1964,8
196409,82.2,1964,9
196410,77.9,1964,10
196411,55.7,1964,11
196412,52.9,1964,12
196501,52.5,1965,1
196502,57.6,1965,2
196503,59.6,1965,3
196504,62.8,1965,4
196505,72.7,1965,5
196506,78.1,1965,6
196507,88.2,1965,7
196508,87.5,1965,8
196509,78.8,1965,9
196510,78.6,1965,10
196511,59.5,1965,11
196512,49.4,1965,12
196601,50.9,1966,1
196602,52.5,1966,2
196603,62.0,1966,3
196604,72.0,1966,4
196605,78.0,1966,5
196606,83.2,1966,6
196607,88.0,1966,7
196608,91.0,1966,8
196609,83.5,1966,9
196610,74.6,1966,10
196611,60.8,1966,11
196612,52.2,1966,12
196701,53.5,1967,1
196702,58.6,1967,2
196703,58.5,1967,3
196704,54.2,1967,4
196705,74.5,1967,5
196706,79.4,1967,6
196707,91.7,1967,7
196708,93.0,1967,8
196709,84.2,1967,9
196710,76.0,1967,10
196711,64.2,1967,11
196712,49.4,1967,12
196801,52.3,1968,1
196802,59.5,1968,2
196803,62.2,1968,3
196804,67.5,1968,4
196805,74.1,1968,5
196806,84.9,1968,6
196807,90.2,1968,7
196808,84.3,1968,8
196809,84.2,1968,9
196810,72.4,1968,10
196811,59.2,1968,11
196812,49.3,1968,12
196901,50.6,1969,1
196902,49.4,1969,2
196903,58.7,1969,3
196904,65.7,1969,4
196905,77.6,1969,5
196906,79.1,1969,6
196907,90.0,1969,7
196908,92.2,1969,8
196909,85.4,1969,9
196910,68.9,1969,10
196911,63.2,1969,11
196912,55.1,1969,12
197001,53.2,1970,1
197002,59.3,1970,2
197003,60.8,1970,3
197004,62.8,1970,4
197005,77.1,1970,5
197006,83.5,1970,6
197007,91.7,1970,7
197008,90.6,1970,8
197009,83.6,1970,9
197010,71.3,1970,10
197011,60.9,1970,11
197012,49.0,1970,12
197101,52.8,1971,1
197102,56.5,1971,2
197103,59.8,1971,3
197104,64.1,1971,4
197105,69.1,1971,5
197106,80.7,1971,6
197107,90.6,1971,7
197108,90.6,1971,8
197109,83.1,1971,9
197110,69.3,1971,10
197111,59.3,1971,11
197112,47.4,1971,12
197201,50.3,1972,1
197202,58.2,1972,2
197203,67.5,1972,3
197204,66.5,1972,4
197205,76.4,1972,5
197206,84.1,1972,6
197207,91.8,1972,7
197208,88.6,1972,8
197209,80.1,1972,9
197210,67.8,1972,10
197211,55.7,1972,11
197212,48.0,1972,12
197301,49.3,1973,1
197302,54.4,1973,2
197303,54.3,1973,3
197304,66.8,1973,4
197305,78.5,1973,5
197306,85.9,1973,6
197307,90.5,1973,7
197308,88.3,1973,8
197309,81.9,1973,9
197310,72.3,1973,10
197311,56.7,1973,11
197312,53.6,1973,12
197401,50.1,1974,1
197402,56.1,1974,2
197403,59.3,1974,3
197404,65.1,1974,4
197405,75.5,1974,5
197406,86.2,1974,6
197407,88.4,1974,7
197408,88.7,1974,8
197409,87.3,1974,9
197410,73.5,1974,10
197411,60.7,1974,11
197412,51.3,1974,12
197501,53.7,1975,1
197502,53.5,1975,2
197503,55.7,1975,3
197504,57.9,1975,4
197505,74.9,1975,5
197506,82.6,1975,6
197507,88.3,1975,7
197508,87.0,1975,8
197509,85.5,1975,9
197510,69.8,1975,10
197511,59.6,1975,11
197512,55.9,1975,12
197601,56.9,1976,1
197602,56.4,1976,2
197603,59.4,1976,3
197604,63.0,1976,4
197605,77.8,1976,5
197606,82.9,1976,6
197607,89.0,1976,7
197608,83.2,1976,8
197609,80.2,1976,9
197610,74.1,1976,10
197611,65.6,1976,11
197612,57.6,1976,12
197701,51.1,1977,1
197702,61.8,1977,2
197703,57.1,1977,3
197704,71.1,1977,4
197705,65.9,1977,5
197706,85.6,1977,6
197707,90.2,1977,7
197708,89.0,1977,8
197709,81.0,1977,9
197710,74.7,1977,10
197711,63.1,1977,11
197712,56.2,1977,12
197801,52.7,1978,1
197802,55.2,1978,2
197803,62.3,1978,3
197804,61.9,1978,4
197805,75.1,1978,5
197806,83.6,1978,6
197807,89.9,1978,7
197808,88.6,1978,8
197809,80.0,1978,9
197810,78.4,1978,10
197811,58.0,1978,11
197812,49.4,1978,12
197901,48.3,1979,1
197902,53.1,1979,2
197903,59.4,1979,3
197904,65.8,1979,4
197905,76.2,1979,5
197906,85.5,1979,6
197907,89.6,1979,7
197908,86.0,1979,8
197909,87.6,1979,9
197910,73.2,1979,10
197911,59.3,1979,11
197912,56.9,1979,12
198001,54.1,1980,1
198002,58.0,1980,2
198003,57.8,1980,3
198004,66.9,1980,4
198005,70.3,1980,5
198006,79.7,1980,6
198007,90.0,1980,7
198008,87.8,1980,8
198009,83.2,1980,9
198010,75.7,1980,10
198011,64.0,1980,11
198012,58.3,1980,12
198101,56.2,1981,1
198102,58.7,1981,2
198103,58.8,1981,3
198104,69.4,1981,4
198105,74.8,1981,5
198106,88.2,1981,6
198107,91.2,1981,7
198108,91.4,1981,8
198109,84.6,1981,9
198110,68.6,1981,10
198111,61.9,1981,11
198112,55.6,1981,12
198201,50.0,1982,1
198202,57.2,1982,2
198203,56.2,1982,3
198204,63.8,1982,4
198205,75.6,1982,5
198206,79.3,1982,6
198207,87.3,1982,7
198208,88.1,1982,8
198209,79.6,1982,9
198210,70.7,1982,10
198211,56.1,1982,11
198212,51.3,1982,12
198301,53.4,1983,1
198302,55.2,1983,2
198303,56.7,1983,3
198304,60.2,1983,4
198305,74.8,1983,5
198306,81.4,1983,6
198307,86.4,1983,7
198308,86.8,1983,8
198309,84.2,1983,9
198310,73.4,1983,10
198311,57.9,1983,11
198312,52.8,1983,12
198401,55.7,1984,1
198402,57.6,1984,2
198403,64.3,1984,3
198404,65.1,1984,4
198405,79.8,1984,5
198406,82.2,1984,6
198407,91.2,1984,7
198408,89.0,1984,8
198409,86.5,1984,9
198410,67.5,1984,10
198411,56.7,1984,11
198412,48.8,1984,12
198501,51.5,1985,1
198502,57.2,1985,2
198503,57.8,1985,3
198504,72.1,1985,4
198505,75.1,1985,5
198506,87.6,1985,6
198507,91.8,1985,7
198508,88.4,1985,8
198509,76.8,1985,9
198510,71.9,1985,10
198511,55.7,1985,11
198512,53.3,1985,12
198601,58.6,1986,1
198602,58.0,1986,2
198603,64.8,1986,3
198604,66.9,1986,4
