,Entity,Code,Year,Annual CO₂ emissions (per capita)
0,Qatar,QAT,2022,37.601273
1,United Arab Emirates,ARE,2022,25.833244
2,Bahrain,BHR,2022,25.672274
3,Kuwait,KWT,2022,25.578102
4,Brunei,BRN,2022,23.950201
5,Trinidad and Tobago,TTO,2022,22.423758
6,Saudi Arabia,SAU,2022,18.197495
7,New Caledonia,NCL,2022,17.641167
8,Oman,OMN,2022,15.730261
9,Australia,AUS,2022,14.985412
